variable,en,nl
SInfo1,I know how to choose good keywords for online searches (for example with Google),Ik weet hoe ik goede zoekwoorden kan kiezen voor zoekopdrachten op het internet (bijvoorbeeld met Google)
SInfo3_V2,I know how I can find answers to my questions on the internet,Ik weet hoe ik op het internet antwoorden op mijn vragen kan vinden
SInfo4,I know how I can use search functions in search engines (for example with Google),Ik weet hoe ik zoekfuncties in zoekmachines kan gebruiken (bijvoorbeeld met Google)
SInfo5,I know how I can check if the information I find on the internet is true,Ik weet hoe ik kan controleren of de informatie waar is die ik op internet vind
SInfo6,I know how I can check if a website is reliable,Ik weet hoe ik kan controleren of een website betrouwbaar is
SInfo7,"I can assess what the goal of online information is (e.g., to inform, influence, entertain or sell)","Ik kan inschatten wat het doel van online informatie is (bijv. om te informeren, beïnvloeden, vermaken of verkopen)"
SCom1_V2,I know when I should ask for permission to share something online,Ik weet wanneer ik toestemming moet vragen om iets online te delen
SCom2,"I know which communication tool best fits which situation (for example: call, send a WhatsApp-message, send an e-mail)","Ik weet welk communicatiemiddel het beste past bij welke situatie (bijvoorbeeld bellen, een WhatsApp-bericht sturen, een e-mail sturen)"
SCom3,I know how to block messages from someone I don't want to hear from,Ik weet hoe ik berichten kan blokkeren van iemand van wie ik niets meer wil ontvangen
SCom4_V2,I know which things I should not share online,Ik weet welke dingen ik niet hoor te delen online
SCom5,I know when it is appropriate and when it is not appropriate to use emoticons (for example smileys ☺ or emoji's),Ik weet wanneer het wel of niet hoort om emoticons te gebruiken (bijvoorbeeld smileys ☺ of emoji's)
SCrea2,I can make a presentation on the computer (for example in Powerpoint),Ik kan op de computer een presentatie maken (bijvoorbeeld in Powerpoint)
SCrea3,I can make something that combines different digital media (for example a movie with music),Ik kan iets maken dat verschillende digitale media combineert (bijvoorbeeld een filmpje met muziek eronder)
SCrea4,"I can change existing digital images, music and video",Ik kan bestaande digitale plaatjes, muziek en video veranderen
SCrea5,I can make a photo or video more attractive (for example with a filter or Photoshop),Ik kan een foto of video mooier maken (bijvoorbeeld met een filter of Photoshop)
SSafDev1,I know how to protect a device against access (e.g. a PIN code or fingerprint),Ik kan toegang tot een apparaat afschermen (bijvoorbeeld met een pincode of vingerafdruk)
SSafDev2,I know how to protect devices against viruses,Ik weet hoe ik apparaten kan beschermen tegen virussen
SPriv1,I know how to adjust the privacy settings on a mobile phone or tablet,Ik weet hoe ik de privacy-instellingen op een mobiele telefoon of tablet kan aanpassen
SPriv2,I know how to change the location settings on a mobile phone or tablet,Ik weet hoe ik de locatie-instellingen kan aanpassen op een mobiele telefoon of tablet
SPriv3,I know how to identify suspicious e-mail messages that try to get my personal data,Ik weet hoe ik verdachte e-mails kan herkennen die mijn persoonlijke gegevens proberen te krijgen
SPriv4,I know how to delete the history of websites that I have visited before,Ik weet hoe ik de geschiedenis van websites die ik eerder bezocht kan verwijderen
SHealth1,I know how to control how much time I spend on the internet,Ik weet hoe ik controle kan houden over hoeveel tijd ik op het internet bezig ben
SHealth2_V2,I know how to make sure my phone doesn't distract me,Ik weet hoe ik kan zorgen dat mijn telefoon mij niet afleidt
SHealth3_V2,"I know how I can stop using my phone and computer for a while, if I want to","Ik weet hoe ik mijn telefoon en computer een tijdje niet kan gebruiken, als ik dat wil"
SEnv1,I know how to reduce the battery use of a phone or computer,Ik weet hoe ik het batterijgebruik van een telefoon of computer kan verminderen
SEnv2,I know how I can buy a phone or computer in a "green" or sustainable way,Ik weet hoe ik op een 'groene' of duurzame manier een telefoon of computer kan kopen
SEnv3,I know how to have a phone or computer recycled,Ik weet hoe ik een telefoon of computer kan laten recyclen
SProbl1,I know where or from whom I can get help to improve my digital skills,Ik weet waar of van wie ik hulp kan krijgen om mijn digitale vaardigheden te verbeteren
SProbl2,I know where or from whom I can get help if I'm unable to do something on the internet,Ik weet waar of van wie ik hulp kan krijgen als iets niet lukt op het internet
Strans1,I know how to handle things online for the tax authority ("belastingdienst") (for example file my tax returns or apply for a wage tax for my (part-time) job),Ik weet hoe ik online dingen kan regelen bij de belastingdienst (bijv. belasting aangifte doen of loonheffing voor bijbaan aanvragen)
Strans2,"I know how to do digital payments on the computer or smartphone (for example online banking, online shopping, using iDeal)","Ik kan digitaal mijn betalingen doen met de computer of met mijn mobiel (bijvoorbeeld online bankieren, online winkelen, iDeal gebruiken)"
Strans3,I know how to arrange my healthcare online (for example take out a health insurance or make an online appointment with the general practitioner),"Ik weet hoe ik op de computer of mobiele telefoon online zorg moet regelen (bijv. zorgverzekering afsluiten of een online afspraak maken met de huisarts)"
Strans4,I know how to apply for a DigID and how to use it,Ik weet hoe ik mijn DigID kan aanvragen en gebruiken
Strans5,I know how to upload documents and images when needed to arrange things online (for example when requesting an OV chip card),Ik weet hoe ik documenten en foto's kan uploaden wanneer dit nodig is om online zaken te regelen (bijv. bij het aanvragen van een OV chipkaart)
SAI1,I recognize when a website or app uses AI to adjust the content to me,Ik weet wanneer een website of app AI gebruikt om de inhoud aan mij aan te passen
SAI2,I recognize when specific content is recommended to me by AI,Ik weet wanneer bepaalde inhoud mij wordt aanbevolen door AI
SGAI1,"I usually know when the content created for me by GenAI, such as ChatGPT, contains correct information","Ik weet meestal wanneer de inhoud die GenAI, zoals ChatGPT, voor mij maakt juiste informatie bevat"
SGAI2,"I know which questions (or ""prompts"") I should ask GenAI, such as ChatGPT, to receive a useful result","Ik weet welke vragen (of ""prompts"") ik aan GenAI, zoals ChatGPT, moet stellen om tot een bruikbaar resultaat te komen"
SGAI3,"I know how to check whether a text or picture is created by GenAI, such as ChatGPT, instead of a person","Ik weet hoe ik kan controleren of een tekst of een foto is gemaakt door GenAI, zoals ChatGPT, in plaats van door een mens"
SGAI4,I know how to use ChatGPT to generate new ideas or solutions,Ik weet hoe ik ChatGPT kan gebruiken voor nieuwe ideeën of oplossingen
SGAI5,I know when the use of ChatGPT can lead to moral problems (for example misleading or privacy violations),Ik weet wanneer het gebruik van ChatGPT voor morele problemen kan zorgen (bijvoorbeeld misleiding of privacy schending)
PSIS1,"Femke Bol is a Dutch athlete. If you want to look up her birthplace on Google, what search term(s) would you use? Fill it in below:","Femke Bol is een Nederlandse atlete. Stel je wil op Google haar geboorteplaats opzoeken, welke zoekterm(en) gebruik je dan? Zoek op Google naar de geboorteplaats van Femke Bol, en vul deze hieronder in:"
PSIS2,How can you make sure that only Dutch sources are shown? Click on the spot in the image where you can indicate this.,Hoe zorg je ervoor dat je alleen Nederlandse bronnen te zien krijgt? Klik op de plaats in de afbeelding op de plek waar je dit kunt aangeven.
